Manhattan,Tex-Mex,04M,A
Manhattan,Salads,08A,A
Brooklyn,American,02B,A
Manhattan,Spanish,02B,A
Manhattan,Indian,04A,A
Brooklyn,Caribbean,09B,A
Brooklyn,Bagels/Pretzels,08A,A
Manhattan,Chinese,09B,A
Brooklyn,American,09C,A
Manhattan,Chicken,04L,A
Manhattan,Italian,06D,A
Manhattan,American,04A,A
Manhattan,Japanese,09C,A
Brooklyn,American,04A,A
Manhattan,Coffee/Tea,10F,A
Manhattan,Middle Eastern,03I,N
Queens,Chinese,02B,N
Manhattan,Chinese,02B,A
Queens,Chinese,06B,A
Bronx,Donuts,10J,A
Manhattan,Chinese,04L,C
Manhattan,French,04L,A
Manhattan,Russian,02B,A
Manhattan,Italian,09C,A
Manhattan,American,04L,C
Brooklyn,Italian,06D,Z
Bronx,American,06D,A
Brooklyn,Chinese,08A,C
Manhattan,Bakery Products/Desserts,04L,Z
Manhattan,Other,05H,N
Queens,Latin American,09E,A
Manhattan,Mexican,09A,A
Manhattan,Italian,04L,A
Staten Island,Pizza,04L,B
Brooklyn,American,04L,B
Bronx,American,06F,A
Staten Island,Chinese,09B,A
Manhattan,American,02B,A
Queens,Korean,04A,A
Queens,Coffee/Tea,02B,A
Queens,Chinese,08A,B
Manhattan,American,04L,A
Bronx,Caribbean,06F,B
Manhattan,Bakery Products/Desserts,04L,B
Manhattan,American,04L,A
Manhattan,Japanese,09E,B
Bronx,Chinese,02B,A
Manhattan,Donuts,06D,A
Manhattan,Hamburgers,02B,A
Manhattan,American,02B,B
Queens,Latin American,06E,A
Manhattan,Italian,08A,A
Queens,Mexican,10F,A
Brooklyn,Italian,02B,A
Bronx,Tex-Mex,02B,A
Bronx,American,02B,A
Brooklyn,Indian,10C,B
Manhattan,American,06F,A
Bronx,American,08A,A
Queens,Bakery Products/Desserts,04M,A
Brooklyn,Thai,04K,A
Brooklyn,Vegan,02B,B
Queens,Spanish,04L,A
Manhattan,Greek,08A,A
Queens,Southeast Asian,08A,Z
Brooklyn,Chinese/Japanese,02B,A
Manhattan,American,08A,Z
Manhattan,Italian,04L,B
Manhattan,Mexican,02G,B
Queens,Chicken,04M,Z
Manhattan,Pizza,04L,A
Queens,Pizza,04L,A
Bronx,Caribbean,02B,A
Bronx,Pancakes/Waffles,08A,A
Bronx,Pizza,08A,C
Queens,American,04L,A
Manhattan,Thai,08A,A
Queens,Chicken,02B,A
Brooklyn,Chinese,02B,B
Brooklyn,Spanish,08A,Z
Manhattan,Tapas,06E,C
Brooklyn,Chicken,06E,A
Manhattan,Chinese,04L,B
Manhattan,Caribbean,04A,N
Manhattan,Greek,04L,A
Queens,Bakery Products/Desserts,06D,B
Queens,Spanish,10G,A
Manhattan,Pizza,08A,C
Brooklyn,Pizza,08A,A
Manhattan,American,04L,B
Brooklyn,American,04A,C
Queens,Pizza,10H,A
Brooklyn,Russian,04M,A
Bronx,Chicken,08A,A
Queens,Spanish,04K,N
Manhattan,American,02B,A
Queens,Indian,04L,A
Bronx,Hamburgers,08A,B
Manhattan,American,06F,A
Manhattan,Indian,09B,A
Queens,Chinese,02B,A
Manhattan,Coffee/Tea,06D,A
Bronx,Frozen Desserts,06D,Z
Brooklyn,Seafood,06D,A
Queens,Spanish,10A,C
Brooklyn,Mexican,02B,A
Brooklyn,Pizza,04M,A
Manhattan,Latin American,04L,A
Brooklyn,Spanish,08A,A
Queens,Mexican,10G,A
Queens,Latin American,10C,A
Manhattan,Hotdogs,09C,A
Manhattan,Mexican,04M,B
Manhattan,Sandwiches/Salads/Mixed Buffet,06C,A
Queens,Pizza,08A,A
Queens,Chinese,09B,A
Brooklyn,Mexican,09E,A
Manhattan,Japanese,04M,C
Queens,Latin American,04M,B
Brooklyn,Caribbean,09B,A
Bronx,Chicken,04A,B
Queens,Other,06F,A
Manhattan,Asian/Asian Fusion,06D,B
Brooklyn,Coffee/Tea,09E,A
Queens,Eastern European,04L,A
Manhattan,American,08A,P
Manhattan,American,06E,A
Manhattan,Korean,09B,C
Manhattan,Italian,02B,N
Queens,Asian/Asian Fusion,06F,A
Brooklyn,Chicken,02B,A
Brooklyn,Vegan,02B,A
Manhattan,Sandwiches,08A,A
Manhattan,Sandwiches,06D,A
Manhattan,Coffee/Tea,02B,Z
Brooklyn,American,06D,B
Manhattan,Sandwiches,02B,Z
Queens,Latin American,08A,A
Queens,Bakery Products/Desserts,28-05,A
Queens,Chinese,08A,Z
Brooklyn,American,10A,A
Queens,Chinese,09B,A
Manhattan,Coffee/Tea,06D,A
Manhattan,Other,04L,A
Bronx,Tex-Mex,02B,A
Queens,American,02B,A
Bronx,Chinese,04L,A
Brooklyn,Asian/Asian Fusion,02B,A
Queens,Japanese,02B,A
Brooklyn,Caribbean,04H,B
Manhattan,Japanese,04A,Z
Manhattan,Bagels/Pretzels,08A,A
Manhattan,Salads,02C,A
Brooklyn,Creole,02B,B
Manhattan,Vegan,02B,C
Brooklyn,Thai,02B,A
Manhattan,Coffee/Tea,10G,A
Queens,Southeast Asian,02B,C
Manhattan,Frozen Desserts,06E,A
Staten Island,Pizza,06E,A
Queens,Hamburgers,04N,C
Bronx,Japanese,02B,A
Brooklyn,Mexican,02B,A
Bronx,Spanish,02B,A
Manhattan,American,02B,A
Queens,Caribbean,04A,A
Brooklyn,Hamburgers,10F,A
Manhattan,American,06D,A
Manhattan,Soups/Salads/Sandwiches,10E,A
Brooklyn,Coffee/Tea,09C,A
Queens,Spanish,02B,A
Manhattan,Vegan,10F,A
Queens,Coffee/Tea,04L,A
Staten Island,American,04L,C
Brooklyn,Pizza,02B,A
Brooklyn,Caribbean,04L,A
Brooklyn,Jewish/Kosher,04L,A
Manhattan,Pizza,10F,A
Brooklyn,Pizza,06D,A
Queens,Indian,04A,A
Manhattan,Chinese,09B,C
Queens,Chinese,06E,Z
Manhattan,American,04A,A
Brooklyn,Italian,02B,A
Brooklyn,Tex-Mex,06E,A
Brooklyn,Jewish/Kosher,04E,A
Brooklyn,Sandwiches,06E,A
Manhattan,Mediterranean,06D,B
Manhattan,Donuts,08A,A
Staten Island,Cajun,06D,C
Manhattan,French,02A,B
Brooklyn,American,02B,A
Brooklyn,American,02B,B
Brooklyn,Jewish/Kosher,02B,A
Queens,Italian,04M,Z
Bronx,Chinese,02B,A
Queens,Korean,02B,C
Bronx,American,02B,A
Brooklyn,Pizza,04M,C
Queens,Tex-Mex,04M,A
Brooklyn,Pizza,04M,A
Bronx,Chicken,02B,A
Staten Island,Italian,09B,A
Manhattan,Thai,04M,Z
Manhattan,Coffee/Tea,02B,Z
Manhattan,Japanese,02B,A
Manhattan,Korean,02B,A
Queens,Chinese,02B,B
Brooklyn,Japanese,02B,A
Brooklyn,Chinese,04M,B
Queens,Creole,02B,B
Bronx,Hamburgers,10J,A
Queens,Coffee/Tea,02B,B
Queens,Eastern European,09B,B
Queens,Chinese,04M,B
Brooklyn,Chicken,02B,A
Queens,American,02B,A
Brooklyn,Caribbean,02B,C
Bronx,Chinese,09B,A
Brooklyn,American,09B,A
Brooklyn,Middle Eastern,09B,A
Manhattan,Chinese,02B,B
Manhattan,Steakhouse,02B,A
Brooklyn,Chicken,02B,B
Brooklyn,Pizza,02B,A
Brooklyn,Chinese,09B,A
Manhattan,Irish,02B,B
Manhattan,American,02B,A
Brooklyn,Chinese,02B,A
Manhattan,Italian,04K,A
Queens,Chinese,09B,A
Queens,Chinese,09B,A
Manhattan,Donuts,04M,A
Manhattan,Salads,02B,A
Brooklyn,Vegetarian,02B,A
Queens,Pizza,02B,B
Queens,American,02B,A
Brooklyn,Middle Eastern,09B,N
Brooklyn,Japanese,09B,A
Manhattan,Pizza,04M,P
Brooklyn,Pizza,02B,A
Manhattan,Pizza,02B,Z
Manhattan,Korean,09B,C
Manhattan,Pizza,02B,A
Manhattan,Irish,09B,A
Manhattan,Pizza,02B,A
Manhattan,Japanese,09B,A
Brooklyn,Chinese,02B,A
Queens,Spanish,04M,A
Manhattan,Jewish/Kosher,02B,A
Manhattan,Latin American,02B,A
Brooklyn,Pizza,02B,A
Queens,Chinese/Japanese,09B,A
Brooklyn,Coffee/Tea,02B,A
Manhattan,Salads,02B,A
Manhattan,Jewish/Kosher,02B,A
Brooklyn,Spanish,02B,A
Manhattan,Mediterranean,09B,A
Manhattan,American,02B,A
Manhattan,Japanese,04L,A
Brooklyn,Mexican,06F,A
Manhattan,Asian/Asian Fusion,02B,A
Brooklyn,Pizza,02B,A
Brooklyn,Latin American,09B,A
Brooklyn,Chinese,09B,Z
Manhattan,Middle Eastern,09C,A
Manhattan,Italian,02B,A
Bronx,Chinese,02B,A
